DATE,TEXT_TEXT,INTEGER,DECIMAL,TEXT_INT,BOOLEAN,test
2021-10-02,M,41,30.7,2,FALSE,1
2021-12-30,F,0,33.3,1,TRUE,2
2021-08-25,M,58,30,5,FALSE,3
2021-12-03,F,0,23.7,1,FALSE,4
2021-11-27,M,0,35.5,1,FALSE,5
2021-08-21,F,47,31.3,2,FALSE,6
2021-03-23,F,10,23,5,FALSE,7
2021-01-30,F,29,28.2,2,FALSE,8
2021-12-11,F,20,24.7,2,TRUE,9
2021-12-15,F,30,19.8,2,FALSE,10
2021-04-23,M,56,25.7,1,FALSE,11
2021-05-17,M,50,24.3,5,FALSE,12
2021-01-19,F,30,31.3,5,TRUE,13
2021-05-21,F,28,27.4,5,FALSE,14
2021-07-24,F,34,23.9,2,FALSE,15
2021-08-03,M,23,25.2,1,FALSE,16
2021-12-24,M,48,25.7,2,FALSE,17
2021-09-09,M,26,28.2,2,FALSE,18
2021-03-26,F,33,25.5,2,FALSE,19
2021-04-08,F,18,32.2,1,FALSE,20
2021-08-15,M,18,42.9,2,FALSE,21
2021-08-10,M,24,20.5,2,TRUE,22
2021-05-03,F,38,35.6,2,FALSE,23
2021-11-24,M,13,22.5,2,FALSE,24
2021-06-07,F,26,30.5,2,FALSE,25
2021-07-17,F,20,30.4,1,TRUE,26
2021-03-18,F,33,31.8,2,FALSE,27
2021-03-22,M,25,28.7,1,FALSE,28
