pet_id,issue_date,listing_date,condition,color_type,length_m,height_cm,X1,X2,days_stayed,total_days_stayed,total_hours_stayed,condition_is_missing
ANSL_69903,2016-07-10 0:00,2016-09-21 16:25,2,Brown Tabby,0.8,7.78,13,9,73 days 16:25:00.000000000,73,16.42,0
ANSL_66892,2013-11-21 0:00,2018-12-27 17:47,1,White,0.72,14.19,13,9,1862 days 17:47:00.000000000,1862,17.78,0
ANSL_69750,2014-09-28 0:00,2016-10-19 8:24,-1,Brown,0.15,40.9,15,4,752 days 08:24:00.000000000,752,8.4,1
ANSL_71623,2016-12-31 0:00,2019-01-25 18:30,1,White,0.62,17.82,0,1,755 days 18:30:00.000000000,755,18.5,0
ANSL_57969,2017-09-28 0:00,2017-11-19 9:38,2,Black,0.5,11.06,18,4,52 days 09:38:00.000000000,52,9.63,0
ANSL_52200,2017-10-25 0:00,2019-03-10 13:18,0,Red,0.92,29.56,0,7,501 days 13:18:00.000000000,501,13.3,0
ANSL_75444,2018-11-06 0:00,2019-04-09 16:00,2,Brown Tabby,0.14,40.24,0,1,154 days 16:00:00.000000000,154,16,0
ANSL_52759,2018-06-05 0:00,2018-09-02 17:04,0,White,0.15,25.48,7,1,89 days 17:04:00.000000000,89,17.07,0
ANSL_74632,2015-10-10 0:00,2016-08-04 16:29,2,Brown,0.05,38.22,13,9,299 days 16:29:00.000000000,299,16.48,0
ANSL_56464,2014-02-18 0:00,2017-03-17 11:38,2,Brown,0.55,21.26,13,9,1123 days 11:38:00.000000000,1123,11.63,0
