pet_id,issue_date,listing_date,condition,color_type,length_m,height_cm,X1,X2,days_stayed,total_days_stayed,total_hours_stayed,condition_is_missing
ANSL_69903,2016-07-10 0:00,2016-09-21 16:25,2,Brown Tabby,0.8,7.78,13,9,73 days 16:25:00.000000000,73,16.42,0
ANSL_66892,2013-11-21 0:00,2018-12-27 17:47,1,White,0.72,14.19,13,9,1862 days 17:47:00.000000000,1862,17.78,0
ANSL_69750,2014-09-28 0:00,2016-10-19 8:24,-1,Brown,0.15,40.9,15,4,752 days 08:24:00.000000000,752,8.4,1
ANSL_71623,2016-12-31 0:00,2019-01-25 18:30,1,White,0.62,17.82,0,1,755 days 18:30:00.000000000,755,18.5,0
ANSL_57969,2017-09-28 0:00,2017-11-19 9:38,2,Black,0.5,11.06,18,4,52 days 09:38:00.000000000,52,9.63,0
ANSL_52200,2017-10-25 0:00,2019-03-10 13:18,0,Red,0.92,29.56,0,7,501 days 13:18:00.000000000,501,13.3,0
ANSL_75444,2018-11-06 0:00,2019-04-09 16:00,2,Brown Tabby,0.14,40.24,0,1,154 days 16:00:00.000000000,154,16,0
ANSL_52759,2018-06-05 0:00,2018-09-02 17:04,0,White,0.15,25.48,7,1,89 days 17:04:00.000000000,89,17.07,0
ANSL_74632,2015-10-10 0:00,2016-08-04 16:29,2,Brown,0.05,38.22,13,9,299 days 16:29:00.000000000,299,16.48,0
ANSL_56464,2014-02-18 0:00,2017-03-17 11:38,2,Brown,0.55,21.26,13,9,1123 days 11:38:00.000000000,1123,11.63,0
ANSL_69485,2004-11-17 0:00,2016-12-15 13:33,0,Tricolor,0.3,23.06,0,1,4411 days 13:33:00.000000000,4411,13.55,0
ANSL_51014,2017-06-17 0:00,2018-02-08 9:00,2,Brown Tabby,0.44,40.32,16,9,236 days 09:00:00.000000000,236,9,0
ANSL_76771,2017-02-07 0:00,2019-05-10 16:42,1,Black,0.2,30.78,13,9,822 days 16:42:00.000000000,822,16.7,0
ANSL_69252,2016-11-29 0:00,2017-05-31 0:00,1,White,0.45,5.39,13,9,183 days 00:00:00.000000000,183,0,0
ANSL_58085,2018-01-29 0:00,2018-05-02 17:46,0,Calico,0.48,30.54,0,1,93 days 17:46:00.000000000,93,17.77,0
ANSL_63686,2016-07-20 0:00,2016-10-10 12:14,1,Black,0.18,49.05,13,9,82 days 12:14:00.000000000,82,12.23,0
ANSL_66127,2016-03-20 0:00,2016-11-03 13:55,1,Red,0.88,49.5,7,1,228 days 13:55:00.000000000,228,13.92,0
ANSL_52366,2009-01-06 0:00,2019-01-27 11:56,1,Black,0.93,14.83,0,7,3673 days 11:56:00.000000000,3673,11.93,0
ANSL_55607,2013-11-28 0:00,2017-12-28 0:00,2,Brown Brindle,0.76,38.99,13,9,1491 days 00:00:00.000000000,1491,0,0
ANSL_72451,2018-08-23 0:00,2018-11-29 11:46,0,Black,0.96,24.33,0,1,98 days 11:46:00.000000000,98,11.77,0
ANSL_66055,2008-01-25 0:00,2016-08-15 11:27,1,Brown Tabby,0.66,36.01,0,1,3125 days 11:27:00.000000000,3125,11.45,0
ANSL_50488,2018-01-07 0:00,2018-07-28 12:36,-1,Brown,0.45,14,11,4,202 days 12:36:00.000000000,202,12.6,1
ANSL_68751,2018-03-14 0:00,2018-05-24 17:10,0,White,0.92,49.5,7,1,71 days 17:10:00.000000000,71,17.17,0
ANSL_57387,2014-11-22 0:00,2017-04-10 16:55,0,Blue,0.31,49.04,13,9,870 days 16:55:00.000000000,870,16.92,0
ANSL_67782,2012-08-02 0:00,2019-01-07 0:00,2,Black,0.51,45.53,13,9,2349 days 00:00:00.000000000,2349,0,0
ANSL_76397,2018-04-11 0:00,2019-05-02 14:16,1,Black,0.8,37.17,0,7,386 days 14:16:00.000000000,386,14.27,0
ANSL_59210,2017-12-30 0:00,2018-04-25 17:41,0,Tortie,0.53,35.06,0,1,116 days 17:41:00.000000000,116,17.68,0
ANSL_56018,2011-01-25 0:00,2017-03-10 12:21,1,Gray,0.32,48.92,0,7,2236 days 12:21:00.000000000,2236,12.35,0
ANSL_53325,2015-09-01 0:00,2016-09-23 18:16,1,Fawn,0.98,14.02,0,7,388 days 18:16:00.000000000,388,18.27,0
ANSL_52456,2010-07-18 0:00,2018-02-18 14:46,0,Tricolor,0.68,22.33,0,7,2772 days 14:46:00.000000000,2772,14.77,0
